id,text,self_reported_emotion
134,I feel helpless and afraid like never before,fear
203,No commute; sunny day; my kids laughing; being with my husband; in work and healthy. Feeling very blessed,happiness
137,"Feeling scared and lonely, can't wait for this to be over.",fear
553,It's gonna get tougher but we will get through it.,happiness
251,I am terrified by what is happening. I’m scared that my family and friends will get ill. I’m scared for everyone.,fear
894,"Stay inside, stay safe, and this madness will pass and we can live our lives to the fullest again",relaxation
295,"I am scared that I will get sick and die, and so will my family and friends #covid19",fear
202,Feeling relaxed and happy but I understand that others are not in this situation. Stay safe everybody!,relaxation
674,I am very scared and worried about contracting the virus and becoming unwell,fear
161,I'm confident we will get through this crisis.,relaxation
