id,text,main_emotion,self_report_anger,self_report_fear,self_report_sadness,encoder_anger,encoder_fear,encoder_sadness,nli_anger,nli_fear,nli_sadness,decoder_anger,decoder_fear,decoder_sadness,decoder_reasoning,decoder_raw
1,"Stressed and uninformed. Don't feel enough is being done by the government to help with the NHS crisis or the proper enforcement of social distancing.nhs staff should be tested immediately and given the right equipment to fight the Corona virus. There should be a full lockdown straight away to stop the spread.the equipment side of it is the fact that they aren't really getting enough or even any at all.how can you be expected to take urgent care of someone, and also be worried that you might catch it,or maybe even already have it.",anger,9,1,6,0.019997721537947655,0.03179936110973358,0.03246629238128662,0.04069295525550842,0.9993638396263123,0.14596547186374664,False,True,False,"The text expresses concern about the lack of action from the government regarding the NHS crisis and social distancing measures, but does not show signs of anger or sadness.","```json
{""anger"": false, ""fear"": true, ""sadness"": false, ""reasoning"": ""The text expresses concern about the lack of action from the government regarding the NHS crisis and social distancing measures, but does not show signs of anger or sadness.""}
```"
2,"I feel worried about the virus, burnout about me getting it. My mother is undergoing chemotherapy and has been told no one knows if treatment will continue if nhs becomes overwhelmed. So I am worried most about her treatment ending  also, because of the chemotherapy her immune system is lower and it could really hurt her if she caught it. So at the moment I am just keeping up to date on numbers and nhs capacity and taking it one chemotherapy session at a time. Also, my partner has underlying health conditions and is self isolating in his house. I havent seen him for nearly a month and I am worried about when I will get to see him with all this going on",fear,8,9,7,0.003129852470010519,0.1635739952325821,0.20112718641757965,4.037790495203808e-05,0.9998726844787598,0.03400405868887901,False,True,False,"The text expresses concern and worry about various aspects including personal health, family members' health, and societal impact due to the pandemic. There is no indication of anger, fear, or sadness.","```json
{
  ""anger"": false,
  ""fear"": true,
  ""sadness"": false,
  ""reasoning"": ""The text expresses concern and worry about various aspects including personal health, family members' health, and societal impact due to the pandemic. There is no indication of anger, fear, or sadness.""
}
```"
3,"Disgusted how unprotected NHS staff are and how late the government has been in trying to resolve this. Disgusted at the amount of people not adhering to guidelines for the safety of others. Sad about the amount of people dying without their families, dying alone without even care staff having the time to sit and hold their hand whilst they take their last breath. Disgusted at the attitude of current staff when someone needs to take the week off, but also feeling the pressure of having to stay at work even though they are experiencing symptoms themselves.",sadness,2,6,7,0.01954892836511135,0.00459173833951354,0.699704647064209,0.9562272429466248,0.011709840036928654,0.5073732733726501,True,False,True,"The text expresses strong negative emotions towards various aspects including healthcare workers, public adherence to guidelines, deaths due to lack of support, and staff attitudes during illness.","```json
{""anger"": true, ""fear"": false, ""sadness"": true, ""reasoning"": ""The text expresses strong negative emotions towards various aspects including healthcare workers, public adherence to guidelines, deaths due to lack of support, and staff attitudes during illness.""}
```"
4,"I am not too worried about the situation as I believe I am a fit and healthy human being. I am more worried about family members becoming ill with the disease and I am also very sad that I cannot see them at this time. Thankfully with technology these days I can see them everyday through a screen and chat to both friends and family whenever I want to. Its just annoying that I cannot leave the house apart from to get essentials, I live in a flat and with the nice weather we are having its becoming quite a struggle.",sadness,1,3,6,0.004323318600654602,0.01474329736083746,0.3861309289932251,0.018869254738092422,0.10320505499839783,0.9880504608154297,False,True,True,"The text expresses concern for health, worry over family's well-being due to illness, and sadness regarding inability to interact physically with loved ones.","```json
{
  ""anger"": false,
  ""fear"": true,
  ""sadness"": true,
  ""reasoning"": ""The text expresses concern for health, worry over family's well-being due to illness, and sadness regarding inability to interact physically with loved ones.""
}
```"
5,"I'm finding the Corona situation quite daunting and draining. I can't wait for it to end, and for things to get back to normal. I feel things will not be the same again.it's left so many families devastated. I feel so sad for the families that have lost loved ones,  both old and young. For those that are fighting for their lives, I hope they pull through.  I have hope that all will be well in the end.  This shall pass, we shall overcome this by God's grace. We are all in this together as this situation has affected the whole world and not just certain parts of it. I salute all those working in the frontline, the NHS and all those volunteering at this time.",sadness,5,2,7,0.004517913330346346,0.03260256350040436,0.6898024082183838,0.00012148175301263109,0.9481065273284912,0.9985076189041138,False,True,True,"The text expresses feelings of despair, sadness, and fear about the ongoing pandemic, highlighting the impact on families and the need for hope and support.","```json
{
  ""anger"": false,
  ""fear"": true,
  ""sadness"": true,
  ""reasoning"": ""The text expresses feelings of despair, sadness, and fear about the ongoing pandemic, highlighting the impact on families and the need for hope and support.""
}
```"
6,"At the moment I feel like I am doing everything I can to protect myself as an individual from the Covid-19 virus. The UK government were a little slow to react and did not take it as seriously as I would have liked, but seem to be doing and saying the right things now. I am looking at other countries data from around the world and things are starting to look more positive from Italy and Spain, where hopefully the figures have peaked as they continue to ‘flatten the curve’. In America the state of New York they still seem to be having a real problem with getting the situation under control, I hope the president will listen to health experts as they monitor the situation.",sadness,1,2,2,0.0015391031047329307,0.0020660520531237125,0.003654871601611376,0.00012681477528531104,0.9779887795448303,0.0007748163770884275,False,False,False,"The text does not express any strong emotions such as anger, fear, or sadness. It is a neutral statement about current events regarding the pandemic.","```json
{
  ""anger"": false,
  ""fear"": false,
  ""sadness"": false,
  ""reasoning"": ""The text does not express any strong emotions such as anger, fear, or sadness. It is a neutral statement about current events regarding the pandemic.""
}
```"
7,"I feel sad for all the people infected and those that died and their families. Somewhat pissed off at how the government have handled the outbreak airports and eurotunnel still open...Particulary concerned at Boris Johnson with the situation of him still continuing to shake hands even with coronavirus patients...no wonder he is in hospital at the moment showas a disregard for the situation, fear the worse is yet to come. Me personally I am not worried health wise more concerned for my eldely parents and of course the effect it will have on our everyday lives moving forward",sadness,2,3,4,0.00787730235606432,0.10027724504470825,0.6808575987815857,0.25183162093162537,0.9640855193138123,0.9996587634086609,False,True,True,"The text expresses concern about the pandemic's impact, frustration with governmental handling, and worry about personal safety and societal effects, indicating both fear and sadness.","```json
{""anger"": false, ""fear"": true, ""sadness"": true, ""reasoning"": ""The text expresses concern about the pandemic's impact, frustration with governmental handling, and worry about personal safety and societal effects, indicating both fear and sadness.""}
```"
8,"I'm worried about elderly parents. I'm worried about my kids education. I feel exhausted and overwhelmed. I worry about my kids getting infected. I starting to worry less about food and provisions tho we still have no toilet paper. I feel disappointed for my kids and for myself on fun things we can't do. I feel like im doing my bit but Im so upset about not seeing my mum and mother in law who are on their own  every day feels the same and Im starting to get bored too.
The kids are acting up and fighting. I feel like my husband doesnt have to deal with this as much. Im trying to work too. ",anger,9,7,8,0.004999951925128698,0.0159746240824461,0.4025215208530426,0.00018740870291367173,0.9986541271209717,0.9815597534179688,False,True,True,"The text expresses multiple concerns including worries about family health, financial stress, lack of personal time, and feelings of being overwhelmed by responsibilities.","```json
{""anger"": false, ""fear"": true, ""sadness"": true, ""reasoning"": ""The text expresses multiple concerns including worries about family health, financial stress, lack of personal time, and feelings of being overwhelmed by responsibilities.""}
```"
9,"I am very anxious and worried about the COVID-19 Coronavirus. I am scared I might catch it, and that my family and friends will catch it. I am scared we will die. I am scared of the daily numbers. I am scared to leave the house. I am fearful of what the future holds, and what will be left standing when we leave the house. I miss my family and friends. I miss being able to leave the house to go into town for coffee, to eat out, to socialise, to shop etc... I am anxious when I see other people and not to go too close to them.",fear,2,9,9,0.004877678584307432,0.8167904615402222,0.08662095665931702,6.868317723274231e-05,0.9999094009399414,0.0026316740550100803,False,True,True,"The text expresses significant anxiety, fear, and sadness due to concerns about the coronavirus pandemic.","```json
{
  ""anger"": false,
  ""fear"": true,
  ""sadness"": true,
  ""reasoning"": ""The text expresses significant anxiety, fear, and sadness due to concerns about the coronavirus pandemic.""
}
```"
10,"i'm very Angry at the moment as there are many people who are not taking the situation seriously and are still going out of the house for unnecessary reasons. i have been isolating for the past 2 weeks due to being high risk and the more people dont listen the longer i have to stay home and not see my family and friends. My parents and inlaws are missing my daughter and all her milestones and being pregnant right now is stressful as it is.
my mother is also high risk as she is 73 and has memory issues so has still been going out so it stresses me out having to worry about her also. ",anger,8,8,6,0.011969548650085926,0.012614093720912933,0.6065582036972046,0.9998574256896973,0.003279442898929119,0.0001494209427619353,True,False,True,"The user expresses frustration and concern over others not respecting their isolation measures, highlighting stress from missed family events and health concerns for vulnerable individuals.","```json
{""anger"": true, ""fear"": false, ""sadness"": true, ""reasoning"": ""The user expresses frustration and concern over others not respecting their isolation measures, highlighting stress from missed family events and health concerns for vulnerable individuals.""}
```"
